GEN,LON_DEZ,LAT_DEZ
Flensburg,9.437510000000000,54.782519999999998
Kiel,10.137269999999999,54.321775000000002
Lübeck,10.683932000000000,53.866269000000003
Neumünster,9.988422000000000,54.069895000000002
Hamburg,9.996969999999999,53.550677999999998
Braunschweig,10.520524999999999,52.262490000000000
Salzgitter,10.329208000000000,52.153573999999999
Wolfsburg,10.784974999999999,52.421937999999997
Delmenhorst,8.630108000000000,53.049883000000001
Emden,7.205946000000000,53.370558000000003
Oldenburg (Oldb),8.212993000000003,53.140025000000001
Osnabrück,8.042050000000000,52.276919999999997
Wilhelmshaven,8.111155999999999,53.520302000000001
Bremen,8.809338000000000,53.075606000000001
Bremerhaven,8.578068000000000,53.543031999999997
Düsseldorf,6.780068000000000,51.224220000000003
Duisburg,6.765477000000000,51.433259000000000
Essen,7.012583000000000,51.455843000000002
Krefeld,6.560890000000000,51.332636999999998
Mönchengladbach,6.431610000000000,51.194473000000002
Mülheim an der Ruhr,6.885050000000000,51.428106999999997
Oberhausen,6.852291000000000,51.470317000000001
Remscheid,7.194356000000000,51.179878000000002
Solingen,7.085665000000000,51.171717999999998
Wuppertal,7.195874000000000,51.271287999999998
Bonn,7.099187000000000,50.734245000000001
Köln,6.957068000000000,50.938107000000002
Leverkusen,6.979767000000000,51.032449999999997
Bottrop,6.929939000000000,51.523693999999999
Gelsenkirchen,7.096064000000000,51.510891999999998
Münster,7.626804000000000,51.961908000000001
Bielefeld,8.532120000000003,52.020578000000000
Bochum,7.217177000000000,51.482698999999997
Dortmund,7.464165000000000,51.514170999999997
Hagen,7.467406000000000,51.360171000000001
Hamm,7.816947000000000,51.678311999999998
Herne,7.222793000000000,51.540365000000001
Darmstadt,8.653838000000000,49.872238000000003
Frankfurt am Main,8.682433000000000,50.110880000000002
Offenbach am Main,8.764442000000003,50.105567000000001
Wiesbaden,8.239138000000002,50.081698000000003
Kassel,9.495199000000000,51.314684000000000
Koblenz,7.597956000000000,50.359515999999999
Trier,6.638021000000000,49.757603000000003
Frankenthal (Pfalz),8.354282000000000,49.535556000000000
Kaiserslautern,7.768864000000000,49.445456000000000
Landau in der Pfalz,8.112413999999999,49.196595000000002
Ludwigshafen am Rhein,8.447899000000000,49.483235000000001
Mainz,8.271855000000000,50.001958999999999
Neustadt an der Weinstraße,8.140755000000000,49.351982999999997
Pirmasens,7.608220000000000,49.197409999999998
Speyer,8.436572000000000,49.316172000000002
Worms,8.361704000000000,49.629828000000003
Zweibrücken,7.363114000000000,49.249189000000001
Stuttgart,9.177733999999999,48.775817000000004
Heilbronn,9.217953000000000,49.140428000000000
Baden-Baden,8.239951000000000,48.761794000000002
Karlsruhe,8.405282000000000,49.009625999999997
Heidelberg,8.705543000000000,49.410524000000002
Mannheim,8.466275000000000,49.487780000000001
Pforzheim,8.699166000000000,48.891285000000003
Freiburg im Breisgau,7.849877000000000,47.994785999999998
Ulm,9.990402000000000,48.398454000000001
Ingolstadt,11.423387000000000,48.765419999999999
München,11.575996999999999,48.137683000000003
Rosenheim,12.128932000000001,47.856358000000000
Landshut,12.152143000000001,48.536977999999998
Passau,13.458449000000000,48.572926000000002
Straubing,12.572499000000001,48.875878000000000
Amberg,11.856142000000000,49.445278000000002
Regensburg,12.101744999999999,49.015248999999997
Weiden i.d. OPf.,12.160209000000000,49.676076000000002
Bamberg,10.886786000000001,49.893386999999997
Bayreuth,11.575301000000000,49.943752000000003
Coburg,10.964232000000001,50.258420999999998
Hof,11.913544999999999,50.316521000000002
Ansbach,10.577254000000000,49.303682000000002
Erlangen,11.003273999999999,49.595080000000003
Fürth,10.989974000000000,49.477384000000001
Nürnberg,11.075269000000000,49.450938000000001
Schwabach,11.024450999999999,49.328887999999999
Aschaffenburg,9.147831999999999,49.973506000000000
Schweinfurt,10.230301000000001,50.045504999999999
Würzburg,9.937250000000001,49.793930000000003
Augsburg,10.897594000000000,48.368383999999999
Kaufbeuren,10.620583000000000,47.879697999999998
Kempten (Allgäu),10.317823000000001,47.724015999999999
Memmingen,10.184968000000000,47.988444999999999
Berlin,13.405538000000000,52.517670000000003
Brandenburg an der Havel,12.563364000000000,52.408650999999999
Cottbus,14.335117000000000,51.759345000000003
Frankfurt (Oder),14.550979000000000,52.341757000000001
Potsdam,13.053580000000000,52.400354999999998
Rostock,12.135992999999999,54.088548000000003
Schwerin,11.414434000000000,53.628545000000003
Chemnitz,12.921602000000000,50.833593000000000
Dresden,13.736883000000001,51.051696999999997
Leipzig,12.377931000000000,51.338287999999999
Dessau-Roßlau,12.245715000000001,51.834702999999998
Halle (Saale),11.970666000000000,51.482478000000000
Magdeburg,11.632726000000000,52.126247999999997
Erfurt,11.027236000000000,50.977122000000001
Gera,12.080429000000001,50.876147000000003
Jena,11.591842000000000,50.930059999999997
Suhl,10.686930000000000,50.609535999999999
Weimar,11.329741000000000,50.980761000000001
